TreeID,Plot,Species,DBH_cm,carbon_at_time,years_ahead
1,Upper,sugar maple,27.611999999999995,154.73421366278612,9
10,Upper,sugar maple,36.75600000000003,298.7557151055146,9
100,Upper,sugar maple,23.039999999999996,102.04011874240994,9
104,Lower,sugar maple,18.331154070211767,60.311179341881214,9
105,Lower,sugar maple,14.934948896227294,37.646956087276585,9
106,Lower,beech,4.743579459451441,2.6921885756346216,9
108,Lower,black birch,8.434999999999997,10.117121446468245,9
109,Lower,black birch,7.012599999999996,6.615811434283407,9
11,Upper,sugar maple,41.20100000000002,388.46250337367564,9
110,Lower,red oak,65.22939999999997,1117.5862401517902,9
112,Lower,sugar maple,16.481094873741426,47.220349812207466,9
113,Lower,sugar maple,16.944373276685287,50.32918952407433,9
115,Lower,black birch,7.037999999999997,6.671055705053179,9
116,Lower,white pine,42.090000000000025,287.3342013245904,9
117,Lower,red oak,75.36399999999998,1557.895516513615,9
118,Lower,black birch,4.091599999999998,1.9160884554983648,9
119,Lower,pignut hickory,5.513999999999997,3.805702324072387,9
12,Upper,sugar maple,26.494399999999995,140.70698835109172,9
120,Lower,mockernut hickory,10.593999999999996,17.088313037217418,9
121,Lower,musclewood,4.523399999999996,2.413408004930508,9
122,Lower,white pine,31.675999999999995,141.17761616605836,9
123,Lower,black birch,7.088799999999996,6.7823239192964815,9
125,Lower,musclewood,3.99,1.808418426224954,9
126,Lower,sugar maple,18.369703007555685,60.603286106989145,9
127,Lower,black birch,14.657999999999998,36.06061368286309,9
128,Lower,black birch,24.6402,119.08114151733453,9
129,Lower,musclewood,22.049399999999995,92.23034824034742,9
13,Upper,sugar maple,37.61960000000003,315.14749718179365,9
130,Lower,musclewood,23.751199999999994,109.43041439248472,9
131,Lower,musclewood,17.705999999999996,55.68501245358862,9
132,Lower,black birch,10.847999999999995,18.045358705953284,9
133,Lower,black birch,12.067199999999996,23.054528149299333,9
135,Lower,white pine,12.117999999999997,12.779603484205403,9
138,Lower,shagbark hickory,43.74100000000003,445.76430690093736,9
14,Upper,sugar maple,42.090000000000025,408.0118650368036,9
140,Lower,black birch,9.171599999999996,12.265492926389836,9
141,Lower,musclewood,5.971199999999996,4.570913304198647,9
143,Lower,black birch,5.869599999999997,4.394007838693584,9
144,Lower,yellow birch,15.070536716343605,38.4376933732715,9
145,Lower,red oak,61.18792767989395,964.7004391420468,9
146,Lower,dogwood,3.1264,1.0319620108053802,9
148,Lower,black birch,8.409599999999998,10.047188343415076,9
149,Lower,black birch,30.507599999999996,194.62550993222936,9
15,Upper,sugar maple,18.086999999999996,58.479587712542134,9
150,Lower,black birch,9.222399999999997,12.42230990044338,9
151,Lower,red oak,59.92013508106129,919.3453123840244,9
153,Lower,black birch,5.640999999999996,4.010331677522879,9
154,Lower,black birch,5.259999999999996,3.414510675994826,9
157,Lower,black birch,6.682399999999997,5.921148330377382,9
160,Lower,red maple,5.996599999999996,4.615757120881372,9
161,Lower,black birch,9.069999999999997,11.95523242104119,9
163,Lower,musclewood,7.7491999999999965,8.324383197111976,9
164,Lower,black birch,10.974999999999996,18.534961142568278,9
165,Lower,black birch,10.035199999999996,15.085896984070558,9
166,Lower,black birch,10.339999999999996,16.160638014983764,9
167,Upper,sugar maple,7.418999999999997,7.531051489713025,9
168,Upper,sugar maple,6.809399999999996,6.1831760216931855,9
17,Upper,sugar maple,58.269800000000025,862.1471096174171,9
171,Upper,sugar maple,15.877199999999997,43.335246274917075,9
172,Upper,sugar maple,54.02800000000003,724.577281754814,9
173,Upper,sugar maple,31.929999999999996,216.13185257266107,9
174,Upper,sugar maple,23.547999999999995,107.28908112810178,9
175,Upper,sugar maple,12.930799999999996,27.027113836207047,9
178,Upper,sugar maple,38.788000000000025,338.11563473354926,9
18,Upper,norway maple,10.847999999999995,18.045358705953284,9
180,Upper,red maple,13.083199999999996,27.765367001290173,9
181,Upper,sugar maple,45.976200000000034,499.9048291100721,9
182,Upper,sugar maple,15.800999999999997,42.858382991205794,9
183,Upper,sugar maple,28.627999999999993,168.143693498407,9
184,Upper,sugar maple,10.847999999999995,18.045358705953284,9
186,Upper,sugar maple,35.61300000000003,277.81836475234655,9
187,Upper,sugar maple,17.883799999999997,56.97952355121103,9
188,Upper,sugar maple,50.85300000000003,630.3610846932556,9
189,Upper,sugar maple,28.526399999999995,166.77436239451728,9
19,Upper,sugar maple,40.31200000000003,369.45390196293835,9
191,Upper,sugar maple,9.577999999999996,13.551687508867424,9
192,Upper,sugar maple,29.136,175.08546697543343,9
193,Upper,sugar maple,27.865999999999996,158.02759066507537,9
194,Upper,sugar maple,26.1388,136.40121809321764,9
196,Upper,sugar maple,17.959999999999997,57.5394660911816,9
197,Upper,sugar maple,10.593999999999996,17.088313037217418,9
198,Upper,norway maple,50.34500000000003,615.9718387044437,9
199,Upper,sugar maple,6.021999999999996,4.660848549327307,9
2,Upper,sugar maple,20.499999999999996,78.00009718779647,9
20,Upper,sugar maple,71.88419999999996,1397.3917799110623,9
21,Upper,sugar maple,23.674999999999997,108.62461121384798,9
22,Upper,sugar maple,9.654199999999996,13.800942105559267,9
23,Upper,sugar maple,41.074000000000034,385.71396280531377,9
24,Upper,sugar maple,19.991999999999997,73.62590100672925,9
26,Upper,sugar maple,35.105000000000025,268.788021997082,9
27,Upper,sugar maple,16.943999999999996,50.326639484567956,9
28,Upper,sugar maple,42.59800000000003,419.4270584068266,9
29,Upper,sugar maple,21.338199999999997,85.53112031468721,9
301,Lower,black birch,18.976,65.30283086513948,9
302,Lower,red oak,59.229400172026956,895.1527139015953,9
303,Lower,sugar maple,24.2338,114.61217597546882,9
304,Lower,red oak,60.670521270144405,946.0411644450666,9
305,Lower,sugar maple,16.547414424185945,47.658524672739034,9
307,Lower,beech,6.275999999999996,5.1254501471469665,9
309,Lower,sugar maple,16.436881840111752,46.929503511514135,9
31,Upper,sugar maple,29.847199999999997,185.07149514591728,9
310,Lower,black birch,6.783999999999996,6.1302571658341565,9
313,Lower,sugar maple,17.01051783727432,50.7822095416824,9
314,Lower,sugar maple,25.325999999999997,126.84239955002889,9
317,Lower,white pine,9.667977564323834,7.265727295088583,9
318,Lower,musclewood,7.799999999999996,8.450430797768032,9
319,Lower,musclewood,15.419999999999996,40.51868319776137,9
32,Upper,sugar maple,43.995000000000026,451.7403708734491,9
321,Lower,burning bush,5.996599999999996,4.615757120881372,9
322,Lower,pignut hickory,7.545999999999996,7.830868035701717,9
324,Lower,black birch,12.879999999999995,26.783525868535666,9
326,Lower,musclewood,3.99,1.808418426224954,9
329,Lower,musclewood,6.199799999999996,4.98344795310172,9
33,Upper,sugar maple,39.93100000000003,361.47202514272914,9
330,Lower,musclewood,5.971199999999996,4.570913304198647,9
331,Lower,musclewood,5.259999999999996,3.414510675994826,9
333,Lower,red maple,7.545999999999996,7.830868035701717,9
334,Lower,musclewood,9.044599999999997,11.878368727422973,9
335,Lower,black oak,18.798199999999998,63.904092957038046,9
336,Lower,pignut hickory,8.358799999999997,9.908144043668091,9
337,Lower,musclewood,9.857399999999997,14.478205526037547,9
338,Lower,musclewood,49.964000000000034,605.3029948471664,9
34,Upper,sugar maple,5.259999999999996,3.414510675994826,9
340,Lower,red oak,57.40839149337528,833.1143870565311,9
342,Lower,black birch,13.946799999999996,32.16272085654862,9
343,Lower,musclewood,9.095399999999996,12.032376452685757,9
344,Lower,white ash,14.493683281071544,35.137626895129856,9
346,Lower,black birch,38.635600000000025,335.06794641267777,9
347,Lower,norway maple,11.076599999999996,18.931984950235723,9
348,Lower,musclewood,8.561999999999996,10.470906400266431,9
349,Lower,musclewood,7.291999999999995,7.237833383811916,9
35,Upper,sugar maple,19.229999999999997,67.33077558402685,9
350,Lower,musclewood,15.927999999999995,43.65481293190516,9
351,Lower,musclewood,5.894999999999996,4.437864368889554,9
354,Lower,musclewood,7.799999999999996,8.450430797768032,9
355,Lower,musclewood,5.259999999999996,3.414510675994826,9
362,Lower,black birch,8.307999999999996,9.770193959202771,9
363,Lower,black birch,6.275999999999996,5.1254501471469665,9
364,Lower,white pine,30.406,127.44952951416548,9
365,Lower,red oak,72.84939999999996,1440.9238026808073,9
367,Lower,black birch,33.098400000000034,234.75635829263487,9
368,Lower,sugar maple,17.54776577347544,54.54707531563006,9
370,Lower,black birch,20.347599999999996,76.67284951338783,9
371,Lower,red oak,59.48597747271058,904.0966263781248,9
372,Lower,white pine,16.435999999999996,27.379804331683115,9
373,Lower,black oak,27.789799999999996,157.03546042313738,9
374,Lower,shagbark hickory,35.333600000000025,272.83080618734294,9
375,Lower,red oak,71.63019999999996,1386.06130708285,9
376,Lower,black birch,12.244999999999996,23.843306367289426,9
378,Lower,red oak,58.90310169661646,883.8509667369289,9
379,Lower,sugar maple,21.134999999999994,83.66935929857443,9
38,Upper,sugar maple,35.74000000000003,280.1023317497894,9
380,Lower,red oak,69.57279999999997,1296.200164857806,9
381,Lower,white pine,19.102999999999994,39.87438041649043,9
383,Lower,red oak,60.322348824565836,933.6008187356831,9
384,Lower,sugar maple,27.103999999999996,148.26480041119785,9
385,Lower,red oak,133.02200000000008,5755.52906980603,9
386,Lower,sugar maple,24.817999999999998,121.06674270935737,9
387,Lower,red oak,59.61354844589307,908.5622801498947,9
388,Lower,sugar maple,21.261999999999997,84.83024575518014,9
389,Lower,red oak,84.50799999999997,2027.33845274641,9
39,Upper,sugar maple,6.529999999999996,5.6151528195093565,9
390,Lower,sugar maple,28.373999999999995,164.7322239098445,9
391,Lower,red maple,18.721999999999998,63.309869377810074,9
392,Lower,sugar maple,18.055201730844875,58.24339168166434,9
395,Lower,white pine,51.74200000000003,481.4465043285006,9
396,Lower,red oak,70.33479999999997,1329.0852986010755,9
397,Lower,red oak,89.33399999999997,2303.561747369571,9
398,Lower,white pine,59.870000000000026,693.3669775963012,9
40,Upper,sugar maple,43.36000000000003,436.8844553740961,9
400,Lower,sugar maple,18.403006763062052,60.856289684438394,9
401,Middle,beech,8.307999999999996,9.770193959202771,9
402,Lower,burning bush,4.275507442925862,2.1199855318794483,9
404,Upper,sugar maple,9.908199999999995,14.650391196766957,9
405,Lower,black birch,3.99,1.808418426224954,9
406,Lower,musclewood,2.466,0.5979230964599617,9
407,Lower,autumn olive,2.9740000000000006,0.91991029883537,9
408,Lower,beech,4.736189470478649,2.6825518168253883,9
409,Lower,sugar maple,14.934948896227294,37.646956087276585,9
41,Upper,sugar maple,6.529999999999996,5.6151528195093565,9
410,Lower,musclewood,2.339,0.529457096342435,9
411,Lower,buckthorn,3.3296,1.1927873043784032,9
412,Lower,sugar maple,14.453445708370506,34.91366760656614,9
413,Lower,black birch,3.355,1.2138193871006564,9
414,Lower,black birch,3.355,1.2138193871006564,9
415,Lower,musclewood,5.437799999999996,3.6858248458539418,9
416 (was 683),Middle,sugar maple,30.045687101459812,187.91445369631808,9
417 (was 654),Middle,sugar maple,31.465682165751968,208.97133248177647,9
418,Lower,black birch,3.5836000000000006,1.4125251123836804,9
419,Lower,black birch,4.828199999999996,2.80393113011164,9
422,Lower,musclewood,2.72,0.7491516539417394,9
423,Lower,black birch,3.355,1.2138193871006564,9
425,Lower,beech,4.739884464965045,2.6873677547095474,9
426,Lower,beech,4.739884464965045,2.6873677547095474,9
427,Lower,musclewood,2.72,0.7491516539417394,9
428,Lower,musclewood,2.9740000000000006,0.91991029883537,9
429,Lower,musclewood,3.99,1.808418426224954,9
430,Lower,sugar maple,16.016238998539382,44.21305325226516,9
432,Lower,burning bush,13.387999999999996,29.27570631980822,9
433,Lower,musclewood,3.7359999999999998,1.5545226661442515,9
434,Lower,red maple,1.958,0.3517470344050663,9
435,Lower,red maple,3.228,1.1107296708596683,9
436,Lower,shagbark hickory,18.937613520072386,64.99939832336749,9
437,Lower,black birch,3.5074000000000005,1.3443967315892877,9
439,Lower,musclewood,1.6532,0.2383469921118131,9
44,Upper,sugar maple,47.17000000000003,530.2647755640857,9
440,Lower,musclewood,3.482,1.3221095034423898,9
441,Lower,musclewood,2.212,0.4656579752497211,9
442,Lower,musclewood,4.497999999999996,2.3823523875969927,9
445,Lower,black birch,3.9392,1.75589982386466,9
446,Lower,black birch,4.320199999999996,2.171301459639836,9
448,Lower,musclewood,4.243999999999996,2.0842251224874873,9
449,Lower,shagbark hickory,19.56304512973105,70.04306048318519,9
45,Upper,norway maple,7.291999999999995,7.237833383811916,9
450,Lower,shagbark hickory,19.08873041712989,66.19854835117866,9
451,Upper,sugar maple,35.105000000000025,268.788021997082,9
452,Upper,sugar maple,16.435999999999996,46.92371283816954,9
453,Lower,black birch,4.548799999999996,2.4446911525137196,9
454,Upper,sugar maple,17.451999999999995,53.8648225317698,9
455,Upper,sugar maple,37.772000000000034,318.09161398329167,9
456,Upper,sugar maple,6.275999999999996,5.1254501471469665,9
458,Lower,shagbark hickory,19.209361842027512,67.16469071615722,9
459,Lower,red maple,11.863999999999995,22.171387930845217,9
460,Upper,sugar maple,5.767999999999997,4.22103878151853,9
461,Upper,sugar maple,25.198999999999995,125.38421590392922,9
462,Upper,sugar maple,9.577999999999996,13.551687508867424,9
463,Upper,sugar maple,37.26400000000003,308.3379971990036,9
464,Lower,musclewood,5.767999999999997,4.22103878151853,9
465,Upper,sugar maple,37.64500000000003,315.6371089074413,9
467,Lower,musclewood,12.397399999999996,24.53136279361898,9
468,Lower,sugar maple,15.83299582412063,43.05825119228401,9
469,Lower,musclewood,4.497999999999996,2.3823523875969927,9
47,Upper,sugar maple,34.97800000000003,266.55676082462304,9
470,Lower,sugar maple,16.233965322689922,45.60766893221714,9
471,Lower,black birch,3.863,1.6787579878009111,9
473,Upper,sugar maple,7.799999999999996,8.450430797768032,9
474,Lower,musclewood,3.228,1.1107296708596683,9
475 (6),Upper,sugar maple,12.752999999999997,26.18000292104342,9
478,Upper,sugar maple,15.419999999999996,40.51868319776137,9
479,Middle,sugar maple,31.033038044718044,202.42173325410698,9
48,Upper,sugar maple,22.023999999999997,91.9861664056305,9
480 (200),Upper,sugar maple,27.484999999999996,153.10221306264975,9
481,Lower,musclewood,7.799999999999996,8.450430797768032,9
482,Lower,white pine,19.864999999999995,43.970502837628395,9
483,Lower,sugar maple,18.114072148494888,58.681104256935356,9
484,Lower,red oak,60.27169451856292,931.7986722332544,9
485,Lower,black birch,10.746399999999996,17.659002473787986,9
486,Lower,sugar maple,18.51181343541913,61.68703301515294,9
487,Lower,black birch,5.005999999999996,3.047124559252009,9
488,Lower,sugar maple,16.58425861887734,47.90294402310638,9
