TREE ID,Tree Species,DBH - 2015,DBH - 2016,DBH - 2017,DBH - 2018,DBH - 2021,DBH - 2022,DBH 2023,DBH - 2024,DBH - 2025
483,sugar maple,5.40,5.44,5.63,5.70,5.90,7.90,5.90,6.12,6.10
484,red oak,20.30,20.69,20.44,20.80,20.70,6.00,21.10,21.65,21.15
485,black birch,3.69,3.60,3.75,3.95,3.90,21.10,4.20,4.06,4.16
486,sugar maple,7.20,9.00,7.06,7.35,7.20,4.00,7.30,7.32,7.25
487,black birch,1.90,1.81,1.88,1.95,1.90,7.80,1.95,1.92,1.90
488,sugar maple,3.10,3.06,3.13,3.20,3.20,2.40,3.25,3.26,3.20
489,black birch,3.88,4.00,4.00,4.15,4.50,3.30,1.64,4.75,5.60
490,black birch,2.13,2.00,2.10,2.25,2.20,4.90,2.31,2.21,2.60
491,black birch,1.25,1.30,1.35,1.40,1.40,2.16,1.40,1.59,1.46
492,black birch,1.56,1.56,1.56,1.65,1.70,1.27,1.70,,
493,black birch,2.63,2.50,2.50,2.50,2.50,1.75,2.56,2.48,2.60
494,sugar maple,2.13,2.06,2.70,2.69,2.90,2.32,3.00,2.71,2.66
495,black birch ,3.81,3.90,3.93,4.10,4.10,2.94,4.14,4.10,4.15
496,black birch ,3.81,3.88,4.00,4.25,4.30,4.80,4.44,4.51,4.50
498,black birch ,1.63,1.40,1.43,1.50,1.50,4.40,1.58,1.49,1.56
499,black birch ,1.69,1.70,1.80,1.65,2.00,1.32,1.40,1.62,1.70
503,Sugar Maple,,,,,,,,2.99,1.74
505,Mockernut Hickory,,,,,2.00,1.38,1.00,1.00,1.10
506,Musclewood,,,,,1.10,0.90,1.15,1.30,1.70
507,Muscle Wood,,,,,1.25,1.20,1.25,1.25,1.23
508,Musclewood ,,,,,1.00,1.25,1.56,3.50,1.57
509,shagbark hickory,,,,,1.50,1.55,1.50,,1.70
511,Sugar maple,,,,,0.90,1.32,1.00,1.00,1.70
800,Musclewood,,,,,,1.00,2.70,1.74,2.25
