fold,r2_score,mse,rmse,mae
1,-0.07451449354171946,34.49522052737879,5.873263192415166,1.9604649757305566
2,-0.03310271122109043,43.636651311900245,6.605804365245783,2.1508179843979396
3,-0.2809202763330174,10.667838884133774,3.2661657771971364,1.4340768222255027
4,-0.28228351691670484,17.040109379315385,4.127966736701664,1.8159336640235106
5,-0.04499311928415928,19.72173666606484,4.440916196694646,1.7535845577440146
