Plot,TreeID,Species,Year,DBH,GapYears,PrevDBH,GrowthRate,GrowthType,DBH_cm,Group,Carbon,CO2e,PrevCarbon,CarbonGrowthRate
Upper,12,sugar maple,2018,10.0,1.0,10.03,-0.0029910269192422,normal,25.4,hardwood,127.69644638473106,468.645958231963,128.5792705356482,-0.0068659912849044
Upper,12,sugar maple,2021,10.27,3.0,10.0,0.0089999999999999,annualized,26.0858,hardwood,135.76594031708055,498.2610009636856,127.69644638473106,0.0210642612769276
Upper,12,sugar maple,2022,10.3,1.0,10.27,0.002921129503408,normal,26.162000000000003,hardwood,136.67982952173418,501.6149743447645,135.76594031708055,0.0067313584137468
Upper,12,sugar maple,2023,10.3,1.0,10.3,0.0,normal,26.162000000000003,hardwood,136.67982952173418,501.6149743447645,136.67982952173418,0.0
Upper,12,sugar maple,2024,10.04,1.0,10.3,-0.025242718446602,normal,25.5016,hardwood,128.87430941141363,472.968715539888,136.67982952173418,-0.0571080615013449
Upper,12,sugar maple,2025,10.36,1.0,10.04,0.0318725099601594,normal,26.3144,hardwood,138.51801171232592,508.3611029842361,128.87430941141363,0.0748302927476885
Upper,13,sugar maple,2015,14.5,,,,initial,36.83,hardwood,300.14092507413557,1101.5171950220774,,
Upper,13,sugar maple,2016,14.375,1.0,14.5,-0.0086206896551724,normal,36.5125,hardwood,294.223172730822,1079.7990439221169,300.14092507413557,-0.0197165792763911
Upper,13,sugar maple,2017,14.46,1.0,14.375,0.0059130434782609,normal,36.7284,hardwood,298.239996393501,1094.5407867641486,294.223172730822,0.0136523021806779
Upper,13,sugar maple,2018,14.5,1.0,14.46,0.0027662517289072,normal,36.83,hardwood,300.14092507413557,1101.5171950220774,298.239996393501,0.0063738221017361
Upper,13,sugar maple,2021,14.83,3.0,14.5,0.0075862068965517,annualized,37.6682,hardwood,316.0846887546532,1160.0308077295772,300.14092507413557,0.0177069751224134
Upper,13,sugar maple,2022,14.6,1.0,14.83,-0.0155091031692515,normal,37.084,hardwood,304.9231375962875,1119.0679149783753,316.0846887546532,-0.0353119007514765
Upper,13,sugar maple,2023,14.9,1.0,14.6,0.0205479452054795,normal,37.846,hardwood,319.52675505808435,1172.6631910631695,304.9231375962875,0.0478927823480937
Upper,13,sugar maple,2024,15.8,1.0,14.9,0.0604026845637584,normal,40.132000000000005,hardwood,365.6706566210666,1342.0113097993144,319.52675505808435,0.1444132637800365
Upper,13,sugar maple,2025,14.74,1.0,15.8,-0.0670886075949367,normal,37.4396,hardwood,311.69011106967264,1143.902707625699,365.6706566210666,-0.1476206651367499
Upper,14,sugar maple,2015,15.06,,,,initial,38.2524,hardwood,327.4735643840218,1201.82798128936,,
Upper,14,sugar maple,2016,15.5,1.0,15.06,0.0292164674634793,normal,39.37,hardwood,349.89820731941523,1284.1264208622538,327.4735643840218,0.068477719652193
Upper,14,sugar maple,2017,15.3,1.0,15.5,-0.0129032258064515,normal,38.862,hardwood,339.6011111062187,1246.3360777598225,349.89820731941523,-0.0294288338659492
Upper,14,sugar maple,2018,15.5,1.0,15.3,0.0130718954248365,normal,39.37,hardwood,349.89820731941523,1284.1264208622538,339.6011111062187,0.030321149950466
Upper,14,sugar maple,2021,15.94,3.0,15.5,0.0094623655913978,annualized,40.4876,hardwood,373.1658913339598,1369.5188211956324,349.89820731941523,0.0221661457797485
Upper,14,sugar maple,2022,16.0,1.0,15.94,0.0037641154328733,normal,40.64,hardwood,376.40446953732254,1381.4044032019738,373.1658913339598,0.0086786554681773
Upper,14,sugar maple,2023,16.25,1.0,16.0,0.015625,normal,41.275,hardwood,390.0691031954358,1431.5536087272492,376.40446953732254,0.0363030589804361
Upper,14,sugar maple,2024,16.3,1.0,16.25,0.0030769230769231,normal,41.402,hardwood,392.835114909359,1441.7048717173475,390.0691031954358,0.0070910812757641
Upper,14,sugar maple,2025,16.5,1.0,16.3,0.0122699386503067,normal,41.91,hardwood,404.0097846139097,1482.7159095330485,392.835114909359,0.0284462088047528
Upper,15,sugar maple,2015,6.5,,,,initial,16.51,hardwood,47.411045443928835,173.99853677921882,,
Upper,15,sugar maple,2016,6.5,1.0,6.5,0.0,normal,16.51,hardwood,47.411045443928835,173.99853677921882,47.411045443928835,0.0
Upper,15,sugar maple,2017,6.6,1.0,6.5,0.0153846153846153,normal,16.764,hardwood,49.10546900846182,180.21707126105483,47.411045443928835,0.0357390044591383
Upper,15,sugar maple,2018,6.21,1.0,6.6,-0.059090909090909,normal,15.7734,hardwood,42.68639629769086,156.65907441252546,49.10546900846182,-0.1307201181535365
Upper,15,sugar maple,2021,7.0,3.0,6.21,0.0424047235641438,annualized,17.78,hardwood,56.22174274992082,206.33379589220945,42.68639629769086,0.1056960189208426
Upper,15,sugar maple,2022,6.88,1.0,7.0,-0.0171428571428571,normal,17.4752,hardwood,54.02965812854221,198.2888453317499,56.22174274992082,-0.0389899799287473
Upper,15,sugar maple,2023,6.69,1.0,6.88,-0.0276162790697673,normal,16.9926,hardwood,50.65926477032057,185.91950170707648,54.02965812854221,-0.0623804309515178
Upper,15,sugar maple,2024,7.03,1.0,6.69,0.0508221225710014,normal,17.8562,hardwood,56.77747296417937,208.37332577853823,50.65926477032057,0.1207717526418432
Upper,15,sugar maple,2025,7.05,1.0,7.03,0.0028449502133712,normal,17.907,hardwood,57.14967706792137,209.7393148392714,56.77747296417937,0.0065554890753384
Upper,167,sugar maple,2016,2.9,,,,initial,7.366,hardwood,7.4078845743540365,27.186936387879314,,
Upper,167,sugar maple,2017,2.75,1.0,2.9,-0.0517241379310344,normal,6.985,hardwood,6.556076423102267,24.06080047278532,7.4078845743540365,-0.1149866932593299
Upper,167,sugar maple,2018,2.72,1.0,2.75,-0.0109090909090908,normal,6.9088,hardwood,6.392743670437877,23.46136927050701,6.556076423102267,-0.0249131861991173
