years_ahead,hybrid_mean_dbh_cm,hybrid_total_carbon_kgC,hybrid_num_trees,epsilon_mean_dbh_cm,epsilon_total_carbon_kgC,epsilon_num_trees
0,21.366744343891405,98805.24386289163,442,21.366744343891405,98805.24386289163,442
5,22.893573082920774,106619.93316523773,442,24.79818217334776,115235.32279874351,442
10,23.84960114540301,111808.83204304961,442,25.992055885295038,123422.77973272491,442
20,25.28419762800147,121218.49330493834,442,26.60604341793171,128210.58055974952,442
