Years,Hard0_Mean_DBH,Hard0_Total_Carbon,Hard0_Pct_Neg,Epsilon_Mean_DBH,Epsilon_Total_Carbon,Epsilon_Pct_Neg,Hard0_Pct_Stuck,Epsilon_Pct_Stuck
0,21.366744343891405,98805.24386289161,0.0,21.366744343891405,98805.24386289161,0.0,67.42081447963801,0.0
5,24.730761358868126,114885.61692002624,67.42081447963801,24.79818217334776,115235.32279874352,67.42081447963801,67.42081447963801,0.0
10,25.85721425633576,122721.80629030641,67.42081447963801,25.992055885295038,123422.77973272491,67.42081447963801,67.42081447963801,0.0
20,26.336360160013154,126802.37195481674,67.42081447963801,26.60604341793171,128210.5805597495,67.42081447963801,67.42081447963801,0.0
